componentName	componentCaption	measurementUnit	measurementTechniquePrinciple	year2005Mean(P50)
Sulphur dioxide (air)	SO2	µg/m3	UV fluorescence		
Particulate matter < 10 µm (aerosol)	PM10	µg/m3	Beta ray attenuation		
Particulate matter < 10 µm (aerosol)	PM10	µg/m3	gravimetry		
Ozone (air)	O3	µg/m3	UV absorption		
Nitrogen dioxide (air)	NO2	µg/m3	chemiluminescence		
Nitrogen oxides (air)	NOX	µg NO2/m3	chemiluminescence		
Carbon monoxide (air)	CO	mg/m3	Non-dispersive infrared absorption,infrared gas filter corre		
Lead (aerosol)	Pb	µg/m3	atomic absorption spectrometry (AAS)		
Cadmium (aerosol)	Cd	ng/m3	atomic absorption spectrometry (AAS)		
Nickel (aerosol)	Ni	ng/m3	atomic absorption spectrometry (AAS)		
Arsenic (aerosol)	As	ng/m3	atomic absorption spectrometry (AAS)		
Benzo(a)pyrene in PM10 (aerosol)	BaP in PM10	ng/m3	gas chromatography mass spectrometry (GC-MS)		
Particulate matter < 2.5 µm (aerosol)	PM2.5	µg/m3	Beta ray attenuation		
